App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Equipment,19,Trainee will demonstrate wire rope sling advantages and damage.,OSHA > OSHA-10: General > 1910 Subpart N Materials Handling and Storage,"CS.1926.552 > General Requirements: Wire rope: 1926.552(a)(2) Rated load capacities; 1926.552(a)(3) Wire rope condition; 1926.552(a)(3)(i) Wire rope wire damage; 1926.552(a)(3)(ii) Abrasion, scrubbing, flattening, or peening; 1926.552(a)(3)(iii) Heat damage; 1926.552(a)(3)(iv) Deformation; 1926.552(a)(3)(v)."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Intro to Rigging Equipment,19,Trainee will demonstrate chain sling advantages and damage.,OSHA > OSHA-10: General > 1910 Subpart N Materials Handling and Storage,"CS.1926.552 > General Requirements: Wire rope: 1926.552(a)(2) Rated load capacities; 1926.552(a)(3) Wire rope condition; 1926.552(a)(3)(i) Wire rope wire damage; 1926.552(a)(3)(ii) Abrasion, scrubbing, flattening, or peening; 1926.552(a)(3)(iii) Heat damage; 1926.552(a)(3)(iv) Deformation; 1926.552(a)(3)(v)."
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will select and wear correct PPE.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely adjust the forks on a forklift.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to identify pinch points.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely work near motorized equipment.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely load forklifts.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate knowledge of basic safety facts.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1926.176 > Handling materials: General 1910.176; 1910.176(a) Use of mechanical equipment; 1910.176(b) Secure storage; 1910.176(c) Housekeeping.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will select and wear correct PPE.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely adjust the forks on a forklift.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to identify pinch points.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely work near motorized equipment.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate how to safely load forklifts.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Motorized Equipment,19,Trainee will demonstrate knowledge of basic safety facts.,"OSHA > OSHA-10: General > 1910 Subpart N
Materials Handling and Storage",CS.1910.178 > Training 1910.178(l)(2).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Power Tools/Electrical Safety: Bench and Pedestal Grinders,15,Trainee will demonstrate how to inspect and safely use a pedestal grinder.,OSHA > OSHA-10: General > 1910 Subpart O Machinery and Machine Guarding,CS.1910.215 > Abrasive wheel machinery: 1910.215(a) General requirements; 1910.215(a)(1) Machine guarding; 1910.215(a)(2) Guard design; 1910.215(a)(4) Work rests; 1910.215(d)(3) Surface condition.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Robotic Safety,10,Trainee will demonstrate awareness of robotic work cell safety.,OSHA > OSHA-10: General > 1910 Subpart O Machinery and Machine Guarding,CS.1910.212 > General Requirements: Machine Safeguardding 1910.212(a).
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Welding Safety: Burn Safety,8,Trainee will demonstrate knowledge of the types of burn risks associated with welding arcs and how to protect themselves with PPE and safety procedures.,"OSHA > OSHA-10: General > 1910 Subpart Q Welding, Cutting and Brazing",CS.1910.255 > Resistance Welding: 1910.255(d)(2) Fire curtains; 1910.255(b)(4) Guarding; 1910.255(b)(5) Shields; 1910.255(b)(7) Stop buttons.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Welding Safety: MIG Welding Safety,12,Trainee will demonstrate how to safely use MIG welding equipment.,"OSHA > OSHA-10: General > 1910 Subpart Q Welding, Cutting and Brazing",CS.1910.252 > 1910.255(b)(5) Shields; Eye protection; 1910.252(b)(2)(i)(A) Helmets; 1910.252(b)(2)(i)(B) Goggles; 1910.252(b)(2)(i)(C) Face Shield; 1910.252(b)(2)(i)(D) Eye protection; 1910.252(b)(2)(ii)(C) Helmets filter plates; 1910.252(b)(3) Protective clothing - General ;1910.252(c)(1)(ii) Screens; 1910.252(c)(1)(iii) Exhausts; 1910.252(c)(3)(i) Exhaust hoods.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Welding Safety: Oxy-Acetylene Safety,14,Trainee will demonstrate how to safely use oxy-acetylene welding equipment.,"OSHA > OSHA-10: General > 1910 Subpart Q Welding, Cutting and Brazing","CS.1910.253 > 1910.253(a)(1) Flammable mixtures; 1910.253(a)(2) Maximum pressure; 1910.253(a)(3) Apparatus.Torches, Regulators, Valves; 1910.253(a)(4) Personnel Training; 1910.253(b)(1)(ii) Compressed gas cylinder ID; 1910.253(b)(1)(iii) Compressed gas cylinders connections;  1910.253(b)(2)(ii) Ventilation; 1910.253(b)(2)(iv) Valve protection caps; 1910.253(b)(3)(ii) Acetylene cylinders storage; 1910.253(b)(4)(i) Oxygen cylinders storage; 1910.253(b)(5)(i) Oil and grease free practices; 1910.253(b)(5)(ii)(A) Transporting cylinders; 1910.253(b)(5)(ii)(B) Cylinders handeling care; 1910.253(b)(5)(ii)(D) Cylinder security; 1910.253(b)(5)(ii)(P) Connection Process; 1910.253(b)(5)(iii)(A) Fuel-gas cylinder set up; 1910.253(b)(5)(iii)(B) Cylinder handeling; 1910.253(b)(5)(iii)(C) Connection process;  1910.253(b)(5)(iii)(D) Regulator removal; 1910.253(b)(5)(iii)(F) Leaky valves or fittings; 1910.253(b)(5)(iii)(H) Safety devices; 1910.253(b)(5)(iii)(I) Fuel-gas pressure; 1910.253(b)(5)(iii)(J) Cylinder valve; 1910.253"
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Welding Safety: Spot Welding Safety,9,Trainee will demonstrate how to safely use resistance welding equipment.,"OSHA > OSHA-10: General > 1910 Subpart Q Welding, Cutting and Brazing",CS.1910.255 > 1910.255(d)(2) Fire curtains; 1910.255(b)(4) Guarding; 1910.255(b)(5) Shields; 1910.255(b)(7) Stop buttons.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Safety Data Sheets,10,"Trainee will demonstrate how to use Safety Data Sheets to identify chemical-related hazards, first aid measures, and PPE.","OSHA > OSHA-10: General > 1910 Subpart Z
Occupational Safety and Health Standards",CS.1910 > Safety Data Sheet (SDS) Table D.1 Minimum Information for SDS.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Plant Safety,Blood Borne Pathogens,8,Trainee will demonstrate knowledge of types of bloodborne pathogens and how to protect themselves with PPE and safety procedures.,OSHA > OSHA-10: General > 1910 Subpart Z: Toxic and Hazardous Substances,CS.1910.1030 > Bloodborne Pathogens: 1910.1030(d)(1) Body fluid Hazards; 1910.1030(d)(2)(vi) Hand Washing; 1910.1030(d)(2)(xiii) Disposal; 1910.1030(d)(3)(ix) Gloves; 1910.1030(d)(3)(ix)(B) Disposable Gloves; 1910.1030(d)(4)(ii)(A) Contaminated Surfaces.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will select and wear correct PPE based on SDS.,"OSHA > OSHA-10: General > 1910
Subpart Z",CS.1910.1200 > Toxic and Hazardous Substances: Hazard Communication 1910.1200.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will demonstrate an understanding of the OSHA hazard communication standard (right-to-know).,"OSHA > OSHA-10: General > 1910
Subpart Z",CS.1910.1200 > Toxic and Hazardous Substances: Hazard Communication 1910.1200.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will identify the elements of chemical labels and placards.,"OSHA > OSHA-10: General > 1910
Subpart Z",CS.1910.1200 > Toxic and Hazardous Substances: Hazard Communication 1910.1200.
VTF  >  Manufacturing and Construction: The Skilled Trades  >  Construction Safety,Materials Handling: Placards,15,Trainee will analyze critical sections of safety data sheets (SDS).,"OSHA > OSHA-10: General > 1910
Subpart Z",CS.1910.1200 > Toxic and Hazardous Substances: Hazard Communication 1910.1200.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > General Safety Hand Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,"Trainee will demonstrate how to calculate, bend, and install EMT conduit that includes overhead supports, couplings, and type-C conduit bodies, per specifications.",OSHA > OSHA-10: General > General Safety Hand Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will cut and connect an offset to complete a branch run.,OSHA > OSHA-10: General > General Safety Hand Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Overhead Branch Conduit 3,20,Trainee will calculate measurements for bending an offset.,OSHA > OSHA-10: General > General Safety Hand Tools,GS.1910.242 > Hand Tools must be in a safe condition.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will use a laser to mark locations for ceiling fasteners.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support MC vertically.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support and label overhead conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install EMT between device boxes.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending offset.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending and cutting conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install MC when an HR box is present.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install a 2100 box using a powder-actuated fastener with extension pole.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will cut and connect offset to complete branch run.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will measure and punch holes in studs to install horizontal conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will use a laser to mark locations for ceiling fasteners.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support MC vertically.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will support and label overhead conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will secure EMT vertically and horizontally.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install EMT between device boxes.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending offset.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will calculate measurements for bending and cutting conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will bend and cut EMT to back-to-back 90 degree bends and correct stub lengths.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install MC when an HR box is present.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will install a 2100 box using a powder-actuated fastener with extension pole.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will cut and connect offset to complete branch run.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Assessment 4,20,Trainee will measure and punch holes in studs to install horizontal conduit.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will evaluate and correct an offset bend for accuracy.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will lay out markings for offset bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will calculate and convert measurements for offset bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will interpret and pull measurements from the job site for offset bending.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,"Trainee will demonstrate how to calculate and convert measurements interpreted from a job site, then lay out and evaluate offset bends according to specifications.",OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will evaluate and correct an offset bend for accuracy.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will lay out markings for offset bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will calculate and convert measurements for offset bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,Trainee will interpret and pull measurements from the job site for offset bending.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Evaluating Offsets,23,"Trainee will demonstrate how to calculate and convert measurements interpreted from a job site, then lay out and evaluate offset bends according to specifications.",OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,"Trainee will demonstrate how to take measurements, then calculate and perform a 90-degree bend.",OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will find values for 90-degree conduit bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will prepare EMT and perform 90-degree bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,"Trainee will demonstrate how to take measurements, then calculate and perform a 90-degree bend.",OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will find values for 90-degree conduit bends.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Calculating and Performing 90-Degree Bends,27,Trainee will prepare EMT and perform 90-degree bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean.
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform and evaluate an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will evaluate an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will orient to tasks and prepare materials for an offset conduit bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.28 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will select and wear correct PPE.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will perform and evaluate an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
VTF-EC  >  Electrical Construction  >  Electrical Construction,Conduit Bending: Introduction to Offsets,30,Trainee will evaluate an offset bend.,OSHA > OSHA-10: General > Subpart D: Walking & Working Surfaces,"GS.1910.29 > Fall protection systems and falling object protection-criteria and practices - workplace clean  Workers in many diverse general industry workplaces are exposed to
  walking-working surface hazards that can result in slips, trips, falls
  and other injuries or fatalities."
